year,accomplishment,person,gender,category
1738,First free black community,Gracia Real de Santa Teresa de Mose (later named Fort Mose) in Florida,Male Achievement,Social & Jobs
1760,First known black published author,Jupiter Hammon (poem An Evening Thought),Female Achievement,Arts & Entertainment
1768,First known black person to be elected to public office,"Wentworth Cheswell, town constable in Newmarket, New Hampshire.",Male Achievement,Social & Jobs
1773,First known black woman to publish a book,"Phillis Wheatley (Poems on Various Subjects, Religious and Moral)",Female Achievement,Arts & Entertainment
1773,First separate black church,"Silver Bluff Baptist Church, Aiken County, South Carolina",Male Achievement,Religion
1775,First black person to join the Freemasons,Prince Hall,Male Achievement,Social & Jobs
1778,First black U.S. military regiment,the 1st Rhode Island Regiment,Male Achievement,Military
1783,First black person to formally practice medicine,"James Derham, who did not hold an M.D. degree.",Male Achievement,Education & Science
1785,First black person ordained as a Christian minister in the United States,"Rev. Lemuel Haynes. He was ordained in the Congregational Church, which became the United Church of Christ",Male Achievement,Religion
1792,First major black Back-to-Africa movement,"3,000 Black Loyalist slaves,  who had escaped to British lines during the American Revolutionary War for the promise of freedom, were relocated to Nova Scotia and given land. Later, 1,200 chose to migrate to West Africa and settle in the new British colony",Male Achievement,Social & Jobs
1793,First African Methodist Episcopal (AME) Church founded,"Mother Bethel A.M.E. Church, Philadelphia, Pennsylvania was founded by Richard Allen",Male Achievement,Religion
1794,First African Episcopal Church established,"Absalom Jones founded African Episcopal Church of St. Thomas, Philadelphia, Pennsylvania",Female Achievement,Religion
1804,First black person ordained as an Episcopal priest,"Absalom Jones in Philadelphia, Pennsylvania",Male Achievement,Religion
1807,First black Presbyterian Church in America,"First African Presbyterian Church founded in Philadelphia, Pennsylvania by John Gloucester a former slave.",Male Achievement,Religion
1816,First fully independent black denomination,"African Methodist Episcopal Church (AME), based in Philadelphia, Pennsylvania and mid-Atlantic states",Male Achievement,Religion
1821,First black person to hold a patent,"Thomas L. Jennings, for a dry-cleaning process",Male Achievement,Education & Science
1822,First black captain to sail a whaleship with an all-black crew,Absalom Boston,Male Achievement,Military
1823,First black person to receive a degree from an American college,"Alexander Twilight, Middlebury College",Male Achievement,Education & Science
1827,First black owned-and-operated newspaper,"Freedom's Journal, founded in New York City by Rev. Peter Williams Jr. and other free blacks.",Male Achievement,Arts & Entertainment
1836,First black person elected to serve in a state legislature,"Alexander Twilight, Vermont",Male Achievement,Military
1837,First formally trained black medical doctor,"Dr James McCune Smith of New York City, who was educated at the University of Glasgow, Scotland, and returned to practice in New York.",Male Achievement,Education & Science
1845,First black person licensed to practice law,Macon Allen from the Boston bar,Male Achievement,Law
1847,First black person to graduate from a US medical school,Dr. David J. Peck,Male Achievement,Education & Science
1847,First black president of any nation,"Joseph Jenkins Roberts, Liberia",Male Achievement,Politics
1849,First black college professor at a predominantly white institution,"Charles L. Reason, New York Central College",Male Achievement,Education & Science
1851,First black member of the Society of Jesus (Jesuits),Patrick Francis Healy,Male Achievement,Religion
1853,First novel published by a black author,"Clotel; or, The President's Daughter, by William Wells Brown, then living in London.",Female Achievement,Arts & Entertainment
1854,First black Roman Catholic priest,James Augustine Healy,Male Achievement,Religion
1854,First institute of higher learning created to educate black students,"Ashmun Institute in Pennsylvania, renamed Lincoln University in 1866. ",Female Achievement,Education & Science
1858,First published play by a black playwright,"The Escape; or, A Leap for Freedom by William Wells Brown",Female Achievement,Arts & Entertainment
1858,First black woman college instructor,"Sarah Jane Woodson Early, Wilberforce College",Female Achievement,Education & Science
1861,First North American military unit with black officers,1st Louisiana Native Guard of the Confederate Army,Male Achievement,Military
1861,First black US federal government civil servant,William Cooper Nell,Male Achievement,Politics
1862,First black woman to earn a B.A.,"Mary Jane Patterson, Oberlin College",Female Achievement,Education & Science
1862,First recognized U.S. Army black combat unit,1st South Carolina Volunteers,Male Achievement,Military
1863,First black-owned and operated collage,Wilberforce University in Ohio,Male Achievement,Arts & Entertainment
1863,First black president of a college,Bishop Daniel Payne (Wilberforce University),Male Achievement,Education & Science
1864,First black woman in the United States to earn an M.D.,Dr. Rebecca Davis Lee Crumpler,Female Achievement,Education & Science
1865,First black field officer in the U.S. Army,Martin Delany,Male Achievement,Military
1865,First black attorney admitted to the bar of the U.S. Supreme Court,John Stewart Rock,Male Achievement,Law
